id_imagem,url_origem,autor,licenca,data_coleta
id_imagem_001,https://commons.wikimedia.org/wiki/File:Brasilia_DF_Brasil_-_Teatro_Nacional_-_panoramio.jpg,Josue Marinho,CC,21/06/2026
id_imagem_002,https://commons.wikimedia.org/wiki/File:Bras%C3%ADlia_-_Teatro_nacional.jpg,Sintegrity,CC,21/06/2026
id_imagem_003,https://commons.wikimedia.org/wiki/File:Teatro_Nacional_Cl%C3%A1udio_Santoro_-_Brasilia_-_DSC00318.JPG,Daderot,CC0,21/06/2026
id_imagem_004,https://commons.wikimedia.org/wiki/File:Teatro_Nacional_Cl%C3%A1udio_Santoro.jpg,Dasfour2022,CC,21/06/2026
id_imagem_005,https://commons.wikimedia.org/wiki/File:20150131_Brasilia_0021.jpg,Mgalves80,CC,21/06/2026
id_imagem_006,https://commons.wikimedia.org/wiki/File:20150131_Brasilia_0022.jpg,Mgalves80,CC,21/06/2026
id_imagem_007,https://commons.wikimedia.org/wiki/File:Memorial_J_Kubitschek_Brasilia_2009.jpg,Cayambe,CC,21/06/2026
id_imagem_008,https://commons.wikimedia.org/wiki/File:Brasilia_DF_Brasil_-_Juscelino_e_Sara_Kubtschek_-_panoramio.jpg,Josue Marinho,CC,21/06/2026
id_imagem_009,https://commons.wikimedia.org/wiki/File:Bras%C3%ADlia_Kubitschek_and_wife_sculpture_2009.jpg,Cayambe,CC,21/06/2026
id_imagem_010,https://commons.wikimedia.org/wiki/File:Memorial_JK_est%C3%A1tuas_Presidente_JK_e_Sarah_Kubitschek.jpg,Ronald Neri,CC,21/06/2026
id_imagem_011,https://commons.wikimedia.org/wiki/File:A_Justica_Alfredo_Ceschiatti_Brasilia_Brasil.jpg,Morio,CC,21/06/2026
id_imagem_012,https://commons.wikimedia.org/wiki/File:A_Justi%C3%A7a_-_Supremo_Tribunal_Federal.JPG,Filipo Tardim,CC,21/06/2026
id_imagem_013,https://commons.wikimedia.org/wiki/File:A_Justi%C3%A7a_escultura_BSB_04_2006_51.jpg,Mariordo (Mario Roberto Durán Ortiz),CC,21/06/2026
id_imagem_014,https://commons.wikimedia.org/wiki/File:14_12_2023_-_-TBT_Os_candangos_imortalizados_na_Pra%C3%A7a_dos_Tr%C3%AAs_Poderes_(53397599804).jpg,Agência Brasília,CC,21/06/2026
id_imagem_015,https://commons.wikimedia.org/wiki/File:Comemora%C3%A7%C3%A3o_da_Independ%C3%AAncia_do_Brasil_(48700990252).jpg,"Ministério da Ciência, Tecnologia e Inovações",CC,21/06/2026
id_imagem_016,https://commons.wikimedia.org/wiki/File:Os_Guerreiros_(Os_Candangos)_BSB_08_2005_42.jpg,Mariordo (Mario Roberto Durán Ortiz),CC,21/06/2026
id_imagem_017,https://commons.wikimedia.org/wiki/File:Fachada_do_Pal%C3%A1cio_do_Planalto_-_49727227028.jpg,Senado Federal,CC,21/06/2026
id_imagem_018,https://commons.wikimedia.org/wiki/File:10.05.2023_-_Retirada_das_grades_do_Pal%C3%A1cio_do_Planalto_(52887943555).jpg,Palácio do Planalto,CC,21/06/2026
id_imagem_019,https://commons.wikimedia.org/wiki/File:10.05.2023_-_Retirada_das_grades_do_Pal%C3%A1cio_do_Planalto_(52887943550).jpg,,CC,21/06/2026
id_imagem_020,https://commons.wikimedia.org/wiki/File:20150201_Brasilia_0024.jpg,Mgalves80,CC,21/06/2026
id_imagem_021,"https://commons.wikimedia.org/wiki/File:Brasil,_gira_Caribe_y_Sur_Am%C3%A9rica_(11975497095).jpg",Cancillería del Ecuador,CC,21/06/2026
id_imagem_022,https://commons.wikimedia.org/wiki/File:BRASILIA_DF_-_panoramio_(13).jpg,Roberto de vasconcel…,CC,21/06/2026
id_imagem_023,"https://commons.wikimedia.org/wiki/File:15_11_2023_-_-TBT_Do_alto_da_Torre_de_TV,_uma_Bras%C3%ADlia_monumental_(53333618426).jpg",Agência Brasília,CC,21/06/2026
id_imagem_024,"https://commons.wikimedia.org/wiki/File:15_11_2023_-_-TBT_Do_alto_da_Torre_de_TV,_uma_Bras%C3%ADlia_monumental_(53333962289).jpg",Agência Brasília,CC,21/06/2026
id_imagem_025,https://commons.wikimedia.org/wiki/File:Bras%C3%ADlia_-_Torre_de_TV_(17).jpg,Sintegrity,CC,21/06/2026
id_imagem_026,https://commons.wikimedia.org/wiki/File:Biblioteca_Nacional_BSB_01.jpg,Luís Dantas,domínio público,21/06/2026
id_imagem_027,https://commons.wikimedia.org/wiki/File:Biblioteca_Nacional_de_Bras%C3%ADlia.jpg,Eduardo Coutinho,CC,21/06/2026
id_imagem_028,"https://commons.wikimedia.org/wiki/File:Biblioteca_Nacional_Leonel_de_Moura_Brizola_(National_Library_of_Bras%C3%ADlia),_2006.JPG",Homem-robô,CC,21/06/2026
id_imagem_029,"https://commons.wikimedia.org/wiki/File:11_01_2024_-_-TBT_um_templo_de_f%C3%A9,_arte_e_hist%C3%B3ria_(53457488345).jpg",Agência Brasília,CC,21/06/2026
id_imagem_030,"https://commons.wikimedia.org/wiki/File:11_01_2024_-_-TBT_um_templo_de_f%C3%A9,_arte_e_hist%C3%B3ria_(53457489145).jpg",Agência Brasília,CC,21/06/2026
id_imagem_031,https://commons.wikimedia.org/wiki/File:Bras%C3%ADlia_-_Catedral_metropolitana_(38).jpg,Sintegrity,CC,21/07/2026
id_imagem_032,https://commons.wikimedia.org/wiki/File:Interior_Catedral_Metropolitana_de_Bras%C3%ADlia.jpg,Joao Felipe Santos Elias,CC,21/06/2026
